quote,start,Process Comments,Policy,Senses of Ethics,Ethics is Bundle of Issues,"Ethics is Rules, Principles",Ethics is Consequences,Documentation is a Moral Practice,"Ethics is Good Situational Awareness, Reflectivity, and Intentionality",Ethics is Collaborative,Expectations of the Profession,Specific Guidelines,Understanding AI Must Be Hands On,Motivations,AI Practioners want to Solve Fun Puzzles,AI Practitioners want to Contribute to the Missions of their Employers,Two Senses of Good,Employment Context,Coworkers and Other Professionals,Hiring Practices,Org Type,Profit and Capitalism,Ethics is Basis for Taking Action,Ethics is Design Constraints,Contraindicators to Ethics,Not Enough Time,Ethics is not Prioritized,Higher-up Lack Buy-in,Identity and Professional Self,Demotivations,Bad Press,Bad Writing,Overwhelming Stuff,Coworkers Treated Badly,Financial Pressure,Professional Trajectory,Nontraditional Trajectory,Seeing Self As Profession,Right Trajectory,Present Identity is Sum of Small Turns,Influences on Moral Aspirations and Ethics Understanding,Projects,See Own Data,Present Identity is Result of Dramatic Turns,What Gets to Count?,"AI Practitioners want to do the Profession they Identify with and Feel a Sense of Belonging to, eg. Teachers",AI Practitioners should have Subject Matter Knowledge,AI Practioners should not be Isolated from Stakeholders and Subject Matter Experts,AI Systems should be Purpose-Driven not Solution-Driven,AI Practitioners want to Feel Productive and Add Value,"AI Springs and Winters, Social Change",AI Hype,AI Matters Because,Broad Actors Shaping Broad Swaths ,Industry Leads AI Research not Academia,Big Industry vs Open Source,Tactics for Imagining and Evaluating Abstract Problems in Concrete-feeling Ways,Literature Connections,Translating to Leadership,Stakeholders,"AI Practitioners should not Launder their Agency or Engage in Specious ""Washing"" Activities","AI Practitioners should not Take Shortcuts, should Exercise Due Diligence, be Vigiliant",AI is a Human,It is Hard to Reason about what AI is doing,Let Computers do what Computers do well,Emergence of Big Data,Data Infrastructures and Data-Driven Decision Making,Lower Barrier APIs,LLMs,Future is Unclear,Reporting and Collaboration Structures,Indicators to Ethics,External Pressures and Formal Oversight,No Longer Hypothetical,Role Models,AI Industry is/n't Due for a Reckoning,Ethics Work is Paid Comparably Less,"AI Practitioners are also, or Align with, Users, Stakeholders, etc.","Ethics is Dispositions, Traits, Role Models, or Targets","AI has Outsized Impacts, at Scale",Disinformation,"AI Practitioners should have a Baseline of Technical, Math Knowledge",Ethics is Overly Broad,Ethics is Casuistry,Encodes Bias,Ethics is Professional Responsibility,Ethics is Clarity on Morally Relevant Concepts,Org Domain,Benchmark Datasets,"It is Hard to Translate AI Principles, Guidelines, and Policy into AI Practice",AI Impacts Rights and Safety,"Cross Talk, Lack of Shared Language, Guidelines don't Resonate",Institutional Knowledge,"Skills Need to be Kept Up-to-date, Continual Learning Valued Highly",Unaware One's AI Domain Even has Moral Issues Worth Considering,Books and Papers,Teaching and Mentorship,AI Displaces Jobs,Existential Threat,"Ethics is Critical Thinking, Good Reasoning",AI Practitioners should have Baseline Moral Theory Knowledge,Moral Luck,Dark Patterns,Ethics is Empathy,B2B Contracts,"Bad Experiences, Via Negativa",Quitting,Pandemic and Remote Work,Exposure to Philosophy at Young Age,My Personal Reflections,Funding Initiatives,The Future can't be Shaped,AI Replaces and Creates Jobs,AI Practitioners Motivate One Another,"Internalized ""Tech"" Identity",Layoffs,Soft Skills Lead to Better Products,Ethics is Maturity,AI Lacks a Long Moral History,"Identify is Non-Static, Narrative, Colloquial",Stub,MemoID,MicrosoftListQuirks,Broad Actors Shaping Broad Swaths,Personal Hardship,"Academia, Scholarship, and Education",Kind,Date,DateInt,Advancements,Virtue,Clarity,Sociotechnical Change,Reason,Right Image,Social and Collaborative,Hands-on and Exposure,Act with Integrity,Hype and Purpose,System Stakeholders,Having a Job,Reflexive,Law and Policy,Ethics is Blocked,Identity Formation,Put into Practice,Scope of Work,Belonging,Luck,Teach and Mentor,Technical Knowledge,Add Value,Internal Motivation,Expect Ethics,Shared Language,Driven by Capitalism,Issues,JOB_MARKET,MOTIVATION_VIRTUE,BELONGING,CONCERNING_PRESENT,COLLABORATION,MOTIVATION_ADD_VALUE,CAPITALISM_PRESSURES,COATES,LUCK_VS_LAW,EXPECT_ETHICS,PRACTICE,SHARED_LANGUAGE
"Understanding these aspects as well as practice-and rule-focusedviews will enable me and those in similar positions to ensure that our students are aware of AI ethics issues, aware of values held by others that warrant respect, aware of the completeness or incompleteness of views held by oneself and others and traced in the skills necessary for ethical AI work",97451,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,0,0,0,journal,2023-06-19,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"Moreover, students will be equipped with narrative points of comparison when carrying out AI ethics practices and when reflecting on one’s place in the ever-accelerating social change around AI",97815,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,0,0,0,journal,2023-06-19,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Kahanna,98041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,0,0,0,journal,2023-06-21,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Don’t let your feelings sabatage your success (Ru).,98056,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,,0,0,0,journal,2023-06-21,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Find the thing that gives you joy and share it (Jimbo),98111,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,,0,0,0,journal,2023-06-21,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
What future doe you see for your students?,98169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,0,0,0,journal,2023-06-21,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Ask that, unpack as I go, and ask pragmatic questions.",98215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,0,0,0,journal,2023-06-21,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lunch.random,98273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,,0,0,0,journal,2023-06-21,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
It felt hard to not have an introduction to give for myself.,98289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,,0,0,0,journal,2023-06-21,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"I study AI ethics, and right now I’m asking about what futures teachers see for their students today.",98353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,0,0,0,journal,2023-06-21,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Why does tht matter? 


I’m filling in the cracks.",98458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,,0,0,0,journal,2023-06-21,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
